image_path,objects,repeating_pattern,image_url,main_color_name,main_color_rgb,other_colors_names
../holden_scrape/wallpapers/full/c2b0afdae6ce28040096e3c92d83751aa1e409ff.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/91542_Zodiac_Blue_green_rollshot-180x180.jpg,dark slate gray,"[69, 83, 58]","dark olive green,dim gray,gray,dark slate gray,silver,dark sea green,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/08290b1217adce814a4cedf75a234d64223a7c3c.jpg,vase,False,https://holdendecor.co.uk/wp-content/uploads/99501-Tipu-Tree-bead-Indigo-Blue-Roomshot-600x600.jpg,silver,"[208, 194, 180]","dark olive green,antique white,gray,dark slate gray,sienna,silver,black,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/6b94fd896213e6b9375d1602632ac61f3ff26435.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66162-Tinos-Dove-Thumbnail-600x600.jpg,light grey,"[221, 215, 204]","tan,antique white,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/127adff0b66670e46c16ea80dc554d33d0504ff5.jpg,"vase,book,teddy bear,potted plant",False,https://holdendecor.co.uk/wp-content/uploads/66161-Tinos-Grey-Roomshot.jpg,dark gray,"[187, 177, 165]","dim gray,dark olive green,saddle brown,gray,dark slate gray,sienna,silver,black,dark gray,rosy brown"
../holden_scrape/wallpapers/full/92d4388e95f30e7d5390069ea230f96b309a81c2.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/66192-Valora-Beige-Rollshot-Closeup-600x600.jpg,tan,"[203, 186, 156]","tan,dim gray,gray,rosy brown,wheat"
../holden_scrape/wallpapers/full/0942e09b3af14ac66fd7f652e6a62b721543b4cd.jpg,book,False,https://holdendecor.co.uk/wp-content/uploads/COVER-WITH-NAME-ON-FOR-ONLINE.jpg,dark slate gray,"[61, 71, 82]","dim gray,tan,gray,dark khaki,silver,light steel blue,linen,dark gray,rosy brown,gainsboro,peru,slate gray,light grey"
../holden_scrape/wallpapers/full/3a587534301e3e859367b7c484c99e659d88c68b.jpg,"vase,chair,potted plant,dining table",False,https://holdendecor.co.uk/wp-content/uploads/RM99427-Botanicus-Cream-Room.jpg,dim gray,"[101, 104, 87]","dark olive green,dim gray,saddle brown,gray,dark slate gray,sienna,indian red,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/3a4ff0c669df39a6b0449360a7fa19505f23cba4.jpg,elephant,True,https://holdendecor.co.uk/wp-content/uploads/4_ROLLS-2-3000x1500_c.jpg,dark gray,"[186, 182, 172]","dim gray,dark olive green,gray,dark slate gray,white smoke,silver,black,dark gray,rosy brown,gainsboro,light grey"
../holden_scrape/wallpapers/full/c4763501761586a4eb4085e5816fbc51e196c9b4.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66160-Tinos-Taupe-Rollshot-600x600.jpg,rosy brown,"[170, 158, 137]","tan,dim gray,gray,silver,dark gray,rosy brown,wheat"
../holden_scrape/wallpapers/full/ddd430a1105809ded41b9c2ca246bea8d99b0664.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/99363-Enigma-Beads-Grey-shiny-Product-180x180.jpg,silver,"[184, 184, 185]","gray,silver,light grey,dark gray"
